id,name,city
https://www.bringfido.com/restaurant/60989,Panera Bread,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/61003,Sausalido - Pittsburgh,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60983,Nola on the Square,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/35792,Dobra Tea,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/33693,Legends Saloon,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60973,Hard Rock Cafe,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/34732,Ordinary Joe's,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60961,Crazy Mocha Coffee,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60992,Pastitsio LLC.,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/30798,Vento's Pizza,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60969,Flowers in the Attic,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60984,Noodles & Company,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/68909,North Park Lounge Lawrenceville,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60966,Einstein Bros. Bagels,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60965,Dibella's Old Fashioned Subs,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/61002,Saga Hibachi Steakhouse & Sushi Bar,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60953,Chipotle Mexican Grill,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60970,Fredo's Delicatessen,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/61006,TGI Fridays,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60945,Aladdin's Eatery,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60980,Mitchell's Restaurant,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/68085,Mineo's Pizza House,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60968,Five Guys,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/28361,Chicken Latino,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/61004,Starbucks,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60979,Mercurio's Gelato & Pizza,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60994,Pitaland Cafe,"Pittsburgh, PA"
https://www.bringfido.com/restaurant/60990,Panera Bread,"Pittsburgh, PA"
