,id,name,city,address_geo,latitude,longitude
191,https://www.bringfido.com/restaurant/35357,Fresh From The Farm Juices,"Wexford, PA","Fresh From the Farm Juices, Perry Highway, Pine Township, Allegheny County, Pennsylvania, 15090, USA",40.6296618,-80.0571996
197,https://www.bringfido.com/restaurant/60456,Panera Bread,"Allison Park, PA","Panera Bread, William Flinn Highway, Hampton Township, Allegheny County, Pennsylvania, 15091, USA",40.6023701,-79.9455531
200,https://www.bringfido.com/restaurant/60475,Bruegger's Bagels,"Bethel Park, PA","Bruegger's Bagels, Library Road, Bethel Park, Allegheny County, Pennsylvania, 15102, USA",40.3333355,-80.0233471
201,https://www.bringfido.com/restaurant/60769,The Simple Greek,"Mount Lebanon, PA","The Simple Greek, 665, Washington Road, Mount Lebanon, Allegheny County, Pennsylvania, 15228, USA",40.3813271,-80.0440889
203,https://www.bringfido.com/restaurant/60779,Five Guys,"Murrysville, PA","Five Guys, William Penn Highway, Murrysville, Westmoreland County, Pennsylvania, PA 15632, USA",40.42208885,-79.6623573580829
208,https://www.bringfido.com/restaurant/60753,Five Guys,"Monroeville, PA","Five Guys, Northern Pike, Monroeville, Allegheny County, Pennsylvania, 15146, USA",40.438569,-79.7776502
209,https://www.bringfido.com/restaurant/60670,Starbucks,"Homestead, PA","Starbucks, East Bridge Street, The Waterfront, Homestead, Allegheny County, Pennsylvania, 15120-5000, USA",40.40763355,-79.9170428510436
219,https://www.bringfido.com/restaurant/61116,Dairy Queen,"White Oak, PA","Dairy Queen, Oliver Drive, White Oak, Allegheny County, Pennsylvania, 15131, USA",40.3375078,-79.8095533647204
223,https://www.bringfido.com/restaurant/60751,Chipotle Mexican Grill,"Monroeville, PA","Chipotle, William Penn Highway, Monroeville, Allegheny County, Pennsylvania, 15146, USA",40.4391539,-79.7669286
225,https://www.bringfido.com/restaurant/30160,Mamma Lucia,"Wexford, PA","Mamma Lucia Pizza, Perry Highway, Pine Township, Allegheny County, Pennsylvania, 15090, USA",40.6324834,-80.0582834
226,https://www.bringfido.com/restaurant/61011,Panera Bread,"Pleasant Hills, PA","Panera Bread, Clairton Boulevard, Southland Shopping Center, Pleasant Hills, Allegheny County, Pennsylvania, 15025, USA",40.3315061,-79.9439706
228,https://www.bringfido.com/restaurant/60525,Dairy Queen,"Coraopolis, PA","Dairy Queen, 507, 5th Avenue, Coraopolis, Allegheny County, Pennsylvania, 15108, USA",40.52185715,-80.1747760158984
231,https://www.bringfido.com/restaurant/60471,Dairy Queen,"Belle Vernon, PA","Dairy Queen, Graham Street, North Belle Vernon, Westmoreland County, Pennsylvania, 15012, USA",40.1333135,-79.8619084
233,https://www.bringfido.com/restaurant/61111,Chipotle Mexican Grill,"Wexford, PA","Chipotle Mexican Grill, 11359, Perry Highway, Pine Township, Allegheny County, Pennsylvania, 15090, USA",40.622999,-80.0543165190519
237,https://www.bringfido.com/restaurant/61114,Sonic Drive-In,"Wexford, PA","Sonic Drive-In, Towne Center Drive, Pine Township, Allegheny County, Pennsylvania, 15090, USA",40.63177145,-80.0567528717723
239,https://www.bringfido.com/restaurant/60476,Dairy Queen,"Bethel Park, PA","Dairy Queen, Library Road, Bethel Park, Allegheny County, Pennsylvania, 15234, USA",40.3464988,-80.0276215
