id,name,city,address
https://www.bringfido.com/attraction/4633,Montour Trail - Arrowhead Trail,"Canonsburg, PA","Valley Brook Rd & Maplewood Dr, Canonsburg, PA, US, 15317"
https://www.bringfido.com/attraction/4299,Youghiogheny River Trail (North),"Belle Vernon, PA","Smithton Beach Rd & PA-981, Belle Vernon, PA, US, 15012"
https://www.bringfido.com/attraction/1477,Arrowhead Walking Trail,"McMurray, PA","E McMurray Rd & Valley Brook Rd, McMurray, PA, US, 15317"
https://www.bringfido.com/attraction/8473,Great Allegheny Passage,"Sutersville, PA","McPhearson St & 1st St, Sutersville, PA, US, 15083"
https://www.bringfido.com/attraction/5062,Great Allegheny Passage (Trail System Overview),"Coraopolis, PA","563 Coraopolis Rd, Coraopolis, PA, US, 15108"
https://www.bringfido.com/attraction/6065,Great Allegheny Passage,"Homestead, PA","543 E Waterfront Dr, Homestead, PA, US, 15120"
https://www.bringfido.com/attraction/8327,Great Allegheny Passage (Trail System Overview),"South Park, PA","Steward Rd & Brownsville Rd, South Park, PA, US, 15129"
https://www.bringfido.com/attraction/4341,Great Allegheny Passage - Montour Trail,"Bethel Park, PA","5780 Irishtown Rd, Bethel Park, PA, US, 15102"
https://www.bringfido.com/attraction/4524,Youghiogheny River Trail (North),"Buena Vista, PA","640 Mc Gowan St, Buena Vista, PA, US, 15018"
https://www.bringfido.com/attraction/8325,Great Allegheny Passage - Montour Trail,"South Park, PA","Snowden Rd & Peters Creek Rd, South Park, PA, US, 15129"
https://www.bringfido.com/attraction/8852,Great Allegheny Passage,"West Newton, PA","108 W Main St, West Newton, PA, US, 15089"
https://www.bringfido.com/attraction/8476,Youghiogheny River Trail (North),"Sutersville, PA","McPhearson St & 1st St, Sutersville, PA, US, 15083"
https://www.bringfido.com/attraction/4297,Great Allegheny Passage,"Belle Vernon, PA","Smithton Beach Rd & PA-981, Belle Vernon, PA, US, 15012"
https://www.bringfido.com/attraction/4523,Great Allegheny Passage,"Buena Vista, PA","640 Mc Gowan St, Buena Vista, PA, US, 15018"
https://www.bringfido.com/attraction/4629,Great Allegheny Passage,"Canonsburg, PA","Valley Brook Rd & Maplewood Dr, Canonsburg, PA, US, 15317"
https://www.bringfido.com/attraction/6853,Great Allegheny Passage,"McKeesport, PA","1906 Donner St, McKeesport, PA, US, 15135"
https://www.bringfido.com/attraction/4849,Great Allegheny Passage (Trail System Overview),"Clairton, PA","11 N State St, Clairton, PA, US, 15025"
https://www.bringfido.com/attraction/12571,AffordableVet,"Bethel Park, PA","1060 Clifton Rd, Bethel Park, PA, US, 15102"
https://www.bringfido.com/attraction/8642,Great Allegheny Passage - Montour Trail,"Venetia, PA","173 Brush Run Rd, Venetia, PA, US, 15367"
https://www.bringfido.com/attraction/4344,Great Allegheny Passage (Trail System Overview),"Bethel Park, PA","499 Limestone Dr, Bethel Park, PA, US, 15102"
https://www.bringfido.com/attraction/5222,Youghiogheny River Trail (North),"Dawson, PA","118 1st St, Dawson, PA, US, 15428"
https://www.bringfido.com/attraction/8658,Great Allegheny Passage - Montour Trail - Arrowhead Trail,"Venetia, PA","160 Brush Run Rd, Venetia, PA, US, 15367"
https://www.bringfido.com/attraction/5220,Great Allegheny Passage,"Dawson, PA","118 1st St, Dawson, PA, US, 15428"
https://www.bringfido.com/attraction/8647,Great Allegheny Passage (Trail System Overview),"Venetia, PA","801 Bebout Rd, Venetia, PA, US, 15367"
https://www.bringfido.com/attraction/14967,Pittsburgh Botanic Garden,"Oakdale, PA","799 Pinkerton Run Road, Oakdale, PA, US, 15071"
https://www.bringfido.com/attraction/15940,Braddock Bark Park,"Braddock, PA","717 Braddock Ave, Braddock, PA, US, 15104"
